"","date","revenue","fb_paid_total_impressions","fb_paid_spend","google_paid_total_impressions","google_paid_spend","pinterest_paid_total_impressions","pinterest_paid_spend","mountain_paid_total_impressions","mountain_paid_spend","fb_organic_total_impressions","instagram_organic_total_impressions","google_organic_total_impressions"
"135",2022-06-12,50250.64,125554,2139.29,289353,6409.33,2685,69.37,0,0,99816,70161,0
"136",2022-06-13,52760.05,144112,2683.95,364526,8360.97,2710,70,0,0,140223,100062,0
"137",2022-06-14,48154.29,134479,2755.81,350238,7723.41,2653,70,0,0,167993,90109,0
"138",2022-06-15,37685.33,120806,2668.33,286555,6536.16,7963,89.45,0,0,155649,76901,0
"139",2022-06-16,30446.43,105695,2335.03,225926,4890.43,9866,141.26,0,0,142103,52011,0
"140",2022-06-17,35135.42,105331,2194.75,420497,5308.97,18000,204.02,0,0,122664,55616,0
"141",2022-06-18,32999.99,105098,2191.66,287281,5070.44,15616,211.56,0,0,124955,118714,0
"142",2022-06-19,34473.95,108010,2081.62,239584,4891.15,13932,207.66,0,0,127620,85090,0
"143",2022-06-20,42785.04,113916,2472.78,171058,4682.14,21869,267.55,0,0,128194,92556,0
"144",2022-06-21,37441.57,126520,2478.68,272667,6075.3,25615,362.06,0,0,139767,77008,0
"145",2022-06-22,41800.95,107810,2245.87,235612,4839.7,31341,362.06,0,0,153783,66199,0
"146",2022-06-23,26742.66,72279,1285.87,266283,4999.73,21464,250,0,0,141867,58635,0
"147",2022-06-24,59962.13,118532,1999.82,335551,4501.14,20222,250,0,0,117479,79780,0
"148",2022-06-25,78577.36,182473,2783.6,339980,5182.86,22874,249.98,0,0,171523,119409,0
"149",2022-06-26,69181.82,153727,2746.5,365998,6382.61,21852,250,0,0,239626,113369,0
"150",2022-06-27,82337.21,127940,2356.33,371217,6664.87,35489,350,0,0,207552,87832,0
"151",2022-06-28,61504.02,134684,2515.3,311154,5863.98,35102,349.54,0,0,165673,104138,0
"152",2022-06-29,57712.04,173181,2719.62,331003,5857.25,35005,350,0,0,180913,135770,0
"153",2022-06-30,46744.04,210633,2936.64,392087,6303.71,26244,348.67,0,0,231088,141676,0
"154",2022-07-01,49010.45,170664,2430.39,342783,5564.08,41170,350,0,0,249665,114876,0
"155",2022-07-02,50449.14,170641,2546.68,356914,5996.73,37760,350,0,0,188672,102117,0
"156",2022-07-03,62685.16,178392,2750.98,404500,6649.24,39270,348.12,0,0,186726,96567,0
"157",2022-07-04,94715.47,197978,2960.04,431609,7907.12,46807,350,0,0,192330,139942,0
"158",2022-07-05,62225.4,157316,2898.76,416879,7799.95,44271,350,0,0,207389,144004,0
"159",2022-07-06,65892.27,98708,2767.13,398633,6831.77,49858,349.97,0,0,167763,104258,0
"160",2022-07-07,22200.37,50531,932.45,341215,6596.1,39685,350,0,0,108848,39823,0
"161",2022-07-08,24570.32,58393,881.9,292652,5314.57,37886,349.19,0,0,61350,53449,0
"162",2022-07-09,28831.51,63569,917.1,390865,6702.77,41724,350,0,0,68658,55540,0
"163",2022-07-10,41240.04,64357,941.61,468492,8685.23,42001,350,0,0,77322,56755,0
"164",2022-07-11,40498.7,62265,924.29,344584,6465.17,38671,349.99,0,0,76909,67796,0
"165",2022-07-12,34500.54,56553,889.5,269941,5220.76,39831,350,0,0,74755,60019,0
"166",2022-07-13,30368.49,60469,960.32,214824,3954.38,43914,344.58,0,0,70943,62388,0
"167",2022-07-14,35049.77,65494,1006.18,183474,3607.01,15547,98.49,0,0,76419,57187,0
"168",2022-07-15,33906.66,65471,1001.53,202591,4092.56,15396,96.89,0,0,89407,107345,0
"169",2022-07-16,48150.94,74442,1028.43,254093,4171.01,15785,98.4,0,0,103297,109738,0
"170",2022-07-17,36856.2,76420,1084.96,311482,5353.07,16010,100,0,0,118289,104480,0
"171",2022-07-18,63224.62,82280,1159.61,314214,5514.9,15524,100,0,0,119128,93357,0
"172",2022-07-19,29985.63,75147,1461.38,363281,5364.63,15800,97.34,0,0,117824,95320,0
"173",2022-07-20,46641.61,88960,1688.5,342160,5600.33,13950,95.24,0,0,113406,103000,0
"174",2022-07-21,30917.38,108347,2066.1,312638,5031.08,16106,97,0,0,125241,116028,0
"175",2022-07-22,20260.11,118603,2218.47,273575,4524.28,14498,98.06,0,0,141962,128248,0
"176",2022-07-23,27209.02,115315,2247.34,334588,5119.85,15752,99.59,0,0,152911,127664,0
"177",2022-07-24,34740.55,122172,2238.64,398034,5955.92,15833,99.4,0,0,154313,127881,0
"178",2022-07-25,46930.99,149278,2230.98,291625,4904.17,15532,100,0,0,159750,145691,0
"179",2022-07-26,33673.06,132923,1968.19,265351,4445.44,19373,97.83,0,0,187907,145057,0
"180",2022-07-27,30723.94,105161,1678.25,246872,4127.92,16183,100,0,0,174591,118626,0
"181",2022-07-28,35018.24,89565,1502.68,237321,3867.07,26114,200,0,0,144347,93970,0
"182",2022-07-29,34740.7,89730,1524.88,210219,3564.89,26999,200,0,0,123033,92731,0
"183",2022-07-30,25569.37,97048,1583.11,228046,3575.76,28075,199.9,0,0,124951,100165,0
"184",2022-07-31,29296.16,98427,1566.92,244719,4375.88,28915,200,0,0,135191,97878,0
"185",2022-08-01,39713.67,85700,1387.52,196504,3918.71,43196,300,0,0,135487,89353,0
"186",2022-08-02,30236.92,72943,1361.92,184687,3613.48,38859,300,0,0,116570,82288,0
"187",2022-08-03,26955.03,76147,1416.21,184036,3161.21,38763,300,0,0,103237,81969,0
"188",2022-08-04,28516.23,76371,1466.46,148329,3066.64,35500,300,0,0,104401,87706,0
"189",2022-08-05,14208.93,77293,1454.11,130768,2243.79,34829,300,0,0,105067,97366,0
"190",2022-08-06,15140.64,78702,1478.38,164301,3268.71,32823,300,0,0,107223,121810,0
"191",2022-08-07,108798.64,91527,1555.37,179767,3460.24,40511,297.36,0,0,132124,138167,0
"192",2022-08-08,67933.19,111355,1628.05,169883,3073.83,42387,300,0,0,170282,125414,0
"193",2022-08-09,42219.86,126252,1873.14,146634,2712.78,38033,300,0,0,180433,157348,0
"194",2022-08-10,20004.5,124869,1868.76,152231,2586.93,36838,300,0,0,205089,152054,0
"195",2022-08-11,20898.55,130021,2245.8,148950,2853.74,35890,300,0,0,201314,182164,0
"196",2022-08-12,21024.63,126428,2377.12,161779,2695.24,30656,330,0,0,214133,186342,0
"197",2022-08-13,21121.43,137165,2388.89,184778,3187.53,32079,330,0,0,210815,196029,0
"198",2022-08-14,16463.11,144479,2433.52,185428,3272.95,34614,330,0,0,232554,217245,0
"199",2022-08-15,37753.39,124731,2293.99,150718,2937.52,33171,330,0,0,230280,232783,0
"200",2022-08-16,22848.47,159749,2431.88,107170,2371.56,32103,330,0,0,193395,227213,0
"201",2022-08-17,28556.67,155712,2229.44,97874,2006.89,32617,330,0,0,226504,201983,0
