"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"70","2_38_1",0,0.693691618755129,1.2267051344695,1.43765008975227,0.221876200968194,0.0914105435739908,0.0518093526270368,0.143655310362461,0.0620516500951928,0.0803284903549296,1,FALSE
"71","2_4_1",0,0.68957537580937,1.2925535876461,1.47730802696349,0.216866395858133,0.112108803995077,0.0991877251882779,0.0795938286890259,0.0964434270819251,0.124602126138109,1,FALSE
"72","2_42_1",0,0.575412365231938,1.53330148409359,1.73617880113791,0.215105008135247,0.0360004112635542,0.183142749262214,0.0107195041235528,0.0385484384232444,0.0497985778743203,1,FALSE
"73","2_49_1",0,0.582414200145961,1.41025383380723,1.32749425891388,0.20749478080344,0.118909359363466,0.509193119842012,0.412390346584273,0.0857666984850657,0.265140289429573,2,FALSE
"74","2_51_1",0,0.597177051160918,1.49217220044582,1.48084254394801,0.225825991774399,0.0375961096568575,0.113592645584847,0.119903664522284,0.0230274894462786,0.027593846948239,1,FALSE
"75","2_52_1",0,0.750262910493767,1.21539324623243,1.48493353785638,0.223093027815025,0.077731509979218,0.0187978045454452,0.0911069787082042,0.06580146019154,0.117617297656044,1,FALSE
"76","2_59_1",0,0.716765655283452,1.19124000577192,1.33058983375923,0.212757442051849,0.143732262389626,0.0491387881772965,0.17188204002417,0.0885371449536405,0.145595194592756,1,FALSE
"77","2_6_1",0,0.718801954817003,1.32389958718802,1.53373097579419,0.222119223075672,0.0834636452844808,0.0358054146711607,0.0409989335668908,0.0471552701897036,0.081079936196194,1,FALSE
"78","2_60_1",0,0.717736321828885,1.34399334149834,1.56360318982371,0.228207765045583,0.0454417328392024,0.010677923911961,0.0754094169506652,0.0110234918175578,0.0336665044205092,1,FALSE
"79","2_61_1",0,0.590409853396124,1.26653546138301,1.50901275885248,0.22827659903926,0.0262197629637621,0.171626363082084,0.0639439159557657,0.0509732380273108,0.0477479760595012,1,FALSE
"80","2_63_1",0,0.681901746405638,1.05543872392071,1.08903509969146,0.174948907347546,0.659423176907968,0.352465640472774,0.727188990956151,0.339939519352032,0.490197103050763,3,FALSE
"81","2_64_1",0,0.565551369102286,1.29569523837963,1.48365467715136,0.216526129525956,0.111940976267593,0.322287914321838,0.0797354631238155,0.0802656016433675,0.124416081748331,1,FALSE
"82","2_65_1",0,0.728109535694161,1.19829485115326,1.44518105354351,0.218131245193266,0.259049776990051,0.0371189872612816,0.174020679314525,0.062011424170824,0.10957104341618,1,FALSE
"83","2_67_1",0,0.55308635892153,1.2621129473514,1.51929944088964,0.229359721228036,0.0199482007300231,0.198864380633974,0.221631648564548,0.0612777458462234,0.0188967920847139,1,FALSE
"84","2_68_1",0,0.636919923864057,1.20866156901325,1.40415242690038,0.216342690384908,0.117509719740344,0.176377224504208,0.172333556438388,0.131942818284296,0.104199796698303,1,FALSE
"85","2_71_1",0,0.697382831091895,0.814645990960203,0.611518539628871,0.110128868021189,0.91972286016327,0.465507802997995,1,0.681341911728083,0.902052083614316,3,FALSE
"86","2_72_1",0,0.583041107535862,1.5015874210546,1.72883727712821,0.209532615528695,0.109056058980106,0.235382783505156,0.0326170548497934,0.0418717721904801,0.0930609041830519,1,FALSE
"87","2_76_1",0,0.691231151041278,1.3553743913761,1.20950861805079,0.197558572494591,0.353145493061636,0.133212707803618,0.373512488616771,0.188378257683093,0.178704176860136,2,FALSE
"88","2_78_1",0,0.645250137078703,1.27666132427701,1.55509098915042,0.227188259282713,0.0529712667222356,0.116542030945554,0.220144547271928,0.0406451177927508,0.074500266331703,1,FALSE
"89","2_79_1",0,0.740652762409626,1.23808078892581,1.45687665494252,0.222600941547803,0.229474464161853,0.0141913063812564,0.189230458273571,0.0386965491768896,0.134413524329997,1,FALSE
"90","2_8_1",0,0.708642362507636,1.20640870258622,1.38607243198169,0.217414310455875,0.118165674825367,0.0404539663929272,0.174382657180447,0.0719063953702145,0.104940798699737,1,FALSE
"91","2_80_1",0,0.657697330794807,1.25015463173994,1.48313396535683,0.224131321648168,0.0592536396724376,0.142353747107867,0.273691211330426,0.0766440582089725,0.109558823521167,1,FALSE
"92","2_81_1",0,0.598774137694915,1.49245628180791,1.48098593840616,0.225889311399906,0.0376030637001214,0.11353167207463,0.0393974510391458,0.0230614653827243,0.0275972228487546,1,FALSE
"93","2_82_1",0,0.732118808429907,1.08112588635421,1.18929607407097,0.188935577179854,0.431769522923589,0.0880807099539058,0.281156727702762,0.229761722844033,0.384783521493776,2,FALSE
"94","2_85_1",0,0.726818328288749,1.06946402438435,1.13696994234193,0.177738189871682,0.292714637145619,0.145357550670832,0.596411119674094,0.344347819752118,0.466116852959252,2,FALSE
"95","2_87_1",0,0.729345499375973,1.14033923373893,1.2426240630926,0.199116540292682,0.441705582829876,0.0682054703076261,0.287582993926193,0.172932272350634,0.221564971033383,2,FALSE
"96","2_88_1",0,0.584487965193287,1.27474218755925,1.53005822666228,0.230193213934808,0.030725049523214,0.17362045478167,0.0997409838776372,0.0474914920540244,0.0485708646354182,1,FALSE
"97","2_89_1",0,0.716745891272971,1.19334384913599,1.33458496333706,0.212712103596703,0.14369017793944,0.049193226334962,0.171747234849762,0.0884713237174409,0.145583138044679,1,FALSE
"98","2_90_1",0,0.602290054466488,1.33765317150716,1.56239085585072,0.224544417449428,0.0509707891277019,0.159807969274854,0.0672237089347155,0.0386768870575574,0.0624146191691284,1,FALSE
"99","2_91_1",0,0.665447189753602,1.34964187986453,1.52193812613601,0.20943774285729,0.12275906490787,0.174279583353043,0.162771717294486,0.0962192507023057,0.171165436266782,1,FALSE
"100","2_92_1",0,0.713364594499861,1.29356752322765,1.56289495528405,0.234616573033483,0,0.0227787667130227,0.0680463137999561,0,0.00676824510605017,1,FALSE
"101","2_93_1",0,0.616178828824948,1.21676301239633,1.4212257664384,0.216898052229888,0.199446030109444,0.236459532776097,0.219909711401763,0.122010360429102,0.111155321722609,2,FALSE
"102","2_94_1",0,0.569700374742362,1.28201514328661,1.44297783958154,0.216265059804821,0.111830445469598,0.321923655160825,0.0907242598732771,0.0801294810762886,0.130372821137971,1,TRUE
"103","2_95_1",0,0.720052898632391,1.28145774922524,1.47213815878626,0.228796062808782,0.0400749260548796,0.00787036291617018,0.0769765979079172,0.0498130211259324,0.0231093599472781,1,FALSE
"104","2_97_1",0,0.537814003323366,1.16517770726187,1.3322254413799,0.20400958592411,0.249591111989936,0.65686266503362,0.362100519285152,0.243728366010472,0.203467366516745,2,TRUE
"105","2_98_1",0,0.663750608603672,1.21437579513191,1.42299559642461,0.216605494314354,0.117611703916657,0.176029818851509,0.175570506053139,0.132078916831001,0.162009114647264,1,FALSE
"106","2_99_1",0,0.740515421370111,0.910450412136818,0.781143816500033,0.140812564364037,0.939174879261904,0.118388808801062,0.852104962134998,0.41442625156781,0.824970692425477,3,FALSE
