"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"48",0.8567525,0.4332933,0.030027,2.7374575,0.8666759,0.2416819,1.229495,0.5655037,0.2960737,1.885565,0.6261566,0.249349,1.3050775,0.5941288,0.1469226,1.5785625,0.7046931,0.4155885,0.6502637,0.83971370939555,0.649068682171187,0.842715311945465,0.0916525331889379,0.725046296647182,0.543997695682759,0.725046296647182,0.668753563006586,0,687581.55913966,0.0104015,65481090.2533626,1e-04,1,0.111558675765991,11.7754199504852,"1_95_1",1,95,1,95,FALSE,TRUE,1,0.188215557036712,3,FALSE
"49",1.52587,0.6226643,0.2109396,2.404455,0.7987619,0.2872639,1.0701025,0.577389,0.2027686,1.752705,0.4561217,0.2288368,2.629115,0.8109307,0.2012235,1.8073475,0.6937689,0.5860005,0.6369308,0.0107560004059843,-0.00096213804818035,-0.0831648979694526,0.227009610040941,1.26174669807406,1.5057092651956,1.26174669807406,0.681767184997213,0,34740596.2929698,0.530497,65481090.2533626,1e-04,1,0.102431297302246,11.8944365978241,"1_96_1",1,96,1,96,FALSE,TRUE,5,0.315775489904159,1,FALSE
"50",1.49281,0.4203167,0.0912945,2.4966475,0.7978092,0.3075451,0.6118615,0.5777908,0.2972323,2.01854,0.8924737,0.2153923,1.1714725,0.9083315,0.114825,1.6916325,0.7518073,0.4962575,0.6392417,-0.0313346547083642,-0.04791577484767,-0.193190466276533,0.231788740632693,1.2910008872562,1.58033340900944,1.2910008872562,0.58535330319802,0,50316269.6491441,0.768386,65481090.2533626,1e-04,1,0.103577613830566,12.0146889686584,"1_97_1",1,97,1,97,FALSE,TRUE,6,0.282327805592453,1,FALSE
"51",1.609145,0.6751776,0.1897353,1.6255625,0.637967,0.21661,1.0258325,0.3785827,0.2128927,2.1602875,0.35385016,0.2539234,2.430475,0.36227781,0.0435258,0.808455,0.34429082,0.3566445,0.6435527,0.125736406696705,0.0518386775854476,0.0105926677551441,0.214550494902071,1.18550793162304,1.43996740273182,1.18550793162304,0.642127386317357,0,16996144.2028065,0.259484,65481090.2533626,1e-04,1,0.101288318634033,12.1404464244843,"1_98_1",1,98,1,98,FALSE,TRUE,2,0.278364755978933,2,FALSE
"52",1.301415,0.5009588,0.0313104,2.3225775,0.9478409,0.2998969,0.646588,0.8944204,0.2760178,1.72767,0.6333575,0.1854997,1.1419025,0.8092241,0.1919589,2.6235575,0.8627804,0.6941265,0.6630173,0.0143037684527788,-0.285408278383858,-0.217769365957405,0.221939740642837,1.4703724703571,1.43119369272995,1.4703724703571,0.633585113741051,0,36176845.849448,0.552433,65481090.2533626,1e-04,1,0.102190971374512,12.2588746547699,"1_99_1",1,99,1,99,FALSE,TRUE,8,0.271649570621467,1,FALSE
"53",1.47929,0.7085627,0.1149807,1.6643275,0.8868457,0.2313061,0.9768875,0.5449503,0.2158654,1.823375,0.6465203,0.1583164,1.26438,0.7395153,0.129381,2.6499325,0.7789449,0.7824225,0.6463289,-0.0424479404739104,-0.0802251920860231,-0.211218489203259,0.23428015986099,1.26537863331476,1.59322218245688,1.26537863331476,0.674930247474251,0,61945530.4521105,0.946001,65481090.2533626,1e-04,1,0.110542297363281,12.3861956596375,"1_100_1",1,100,1,100,FALSE,TRUE,5,0.329044359860893,1,FALSE
"54",1.331155,0.5067912,0.0443151,2.1796325,0.9193453,0.288247,0.7838025,0.5279879,0.3410566,1.9763425,0.5542295,0.2297239,0.953345,0.6591903,0.1294917,2.4609325,0.8298405,0.756653,0.6573992,-0.0189649575706834,-0.106846955026461,-0.235115726958807,0.230864314787413,1.26443892236802,1.52534367558283,1.26443892236802,0.600914637579837,0,47046536.488998,0.718447,65481090.2533626,1e-04,1,0.101326942443848,12.5037717819214,"1_101_1",1,101,1,101,FALSE,TRUE,4,0.275884777355123,1,FALSE
"55",1.43103,0.6186372,0.2209452,1.5217275,0.6074029,0.2554894,1.045065,0.4714125,0.1705342,1.94837,0.3854658,0.1409575,2.216325,0.6600576,0.1291752,0.6156645,0.3813127,0.32777145,0.65702,0.687766953301381,0.485875681693975,0.726609241775299,0.127795810669456,0.861763592042096,0.717638607117801,0.861763592042096,0.660640244279444,0,1957348.99730744,0.0297948,65481090.2533626,1e-04,1,0.11161732673645,12.6320834159851,"1_102_1",1,102,1,102,FALSE,TRUE,1,0.185368426713586,3,FALSE
"56",1.969735,0.5944683,0.1878927,2.172155,0.6758433,0.2447311,1.2867625,0.5521554,0.2286397,1.7820325,0.5262099,0.2437867,1.23621,0.569703,0.1024014,1.8809675,0.7531527,0.6231425,0.6419099,0.0121904431322943,-0.0451131966120919,-0.19280043331526,0.228057802699808,1.26455959356023,1.49717362244637,1.26455959356023,0.702737621692808,0,33780739.5051338,0.515837,65481090.2533626,1e-04,1,0.100688695907593,0.100688695907593,"2_1_1",2,1,1,1,FALSE,TRUE,7,0.327972941121994,1,FALSE
"57",1.4400225,0.7086684,0.1205607,1.488185,0.7728276,0.2281552,1.35468,0.6162187,0.2805619,1.0387425,0.8014296,0.2861737,1.5413375,0.4716883,0.1596492,1.4100225,0.478507,0.5090045,0.6509498,0.0411759885796564,-0.040770410635619,-0.159035913896361,0.224163931253059,1.24862533684753,1.47673403374385,1.24862533684753,0.683880184059517,0,28027426.0123688,0.427966,65481090.2533626,1e-04,1,0.107732534408569,0.341134786605835,"2_3_1",2,3,1,3,FALSE,TRUE,4,0.311539112407524,1,FALSE
