date,revenue,fb_paid_total_impressions,fb_paid_spend,google_paid_total_impressions,google_paid_spend,pinterest_paid_total_impressions,pinterest_paid_spend,mountain_paid_total_impressions,mountain_paid_spend,fb_organic_total_impressions,instagram_organic_total_impressions,google_organic_total_impressions
2023-08-10,36929.18,117386,2248.65,212752,4164.39,0,0.00,29706,563.94,59335.0,98388,23975.0
2023-08-09,42619.56,130125,2247.13,238146,4623.45,0,0.00,30254,570.04,66263.0,119545,25415.0
2023-08-08,41466.02,138223,2264.06,307326,5319.97,0,0.00,30695,614.15,60605.0,124561,25773.0
2023-08-07,68191.68,130681,2321.92,329425,6212.26,0,0.00,30924,645.56,58745.0,129552,29077.0
2023-08-06,47697.41,129592,2380.41,326586,5487.82,0,0.00,30365,654.20,60620.0,130216,36156.0
2023-08-05,33252.38,122160,2198.69,248741,4939.16,0,0.00,30448,649.30,64078.0,125474,32974.0
2023-08-04,81917.88,124873,2179.67,193491,3620.87,0,0.00,29440,575.92,65632.0,121861,28688.0
2023-08-03,69343.34,123495,2230.02,203368,3754.72,0,0.00,32344,665.73,65157.0,117228,29589.0
2023-08-02,66869.02,130382,2260.38,256607,4422.73,0,0.00,30484,633.48,55999.0,123899,31337.0
2023-08-01,47659.85,131131,2376.76,252483,4639.63,0,0.00,27206,568.11,61167.0,114517,30770.0
2023-07-31,70134.87,173639,2997.28,260845,4650.28,0,0.00,36468,696.65,61258.0,114314,33218.0
2023-07-30,52205.28,176606,3093.90,276041,5247.49,0,0.00,35678,666.39,60411.0,127992,41019.0
2023-07-29,40797.44,172112,3044.19,236784,4455.25,0,0.00,35110,659.45,58124.0,112937,41425.0
2023-07-28,46156.13,173863,3005.71,192015,3887.60,0,0.00,34603,655.21,53729.0,116572,38205.0
2023-07-27,32349.28,162457,2878.66,267277,4369.20,0,0.00,36128,708.73,50553.0,111081,36429.0
2023-07-26,38964.82,152919,2733.52,294332,4941.12,0,0.00,34233,658.01,51917.0,106676,35720.0
2023-07-25,52452.49,165620,2878.60,278878,5181.88,0,0.00,33832,658.75,58611.0,130060,34885.0
2023-07-24,47777.34,172973,3017.66,294866,5993.25,0,0.00,34820,686.15,60477.0,156124,37692.0
2023-07-23,59328.12,178572,3105.66,350527,5141.80,0,0.00,34431,675.72,59211.0,161524,47411.0
2023-07-22,47728.74,175493,3037.18,266849,4770.61,5,0.06,32603,632.98,54448.0,147966,43401.0
2023-07-21,39172.52,174594,2998.45,204040,3557.76,12277,113.86,34020,674.47,62263.0,134041,36580.0
2023-07-20,76262.46,230206,3892.43,208962,3783.44,35602,266.00,38713,721.11,65814.0,154575,32036.0
2023-07-19,55714.68,257620,3976.42,270023,4655.14,47009,266.00,24282,547.85,72988.0,159211,30416.0
2023-07-18,52511.62,290728,3954.51,241157,4521.79,54349,266.00,29590,632.70,66836.0,188625,33075.0
2023-07-17,84709.7,232456,3589.34,267459,5315.14,34151,266.00,25359,590.40,58758.0,203376,34357.0
2023-07-16,65536.8,153515,2543.64,298972,4863.11,25957,266.00,30015,685.74,59448.0,170410,37470.0
2023-07-15,39232.04,155324,2365.35,250429,4074.38,23797,237.32,28493,629.80,60067.0,162187,38254.0
2023-07-14,67591.76,152987,2333.35,188365,3446.88,30845,265.96,26372,550.89,63296.0,157185,32815.0
2023-07-13,35162.49,169302,2359.69,195456,3624.39,26272,233.11,30673,684.52,55754.0,168160,30705.0
2023-07-12,32352.24,145783,2361.58,196203,4125.45,28490,253.46,29694,630.90,57160.0,144582,32762.0
2023-07-11,24843.01,156385,2390.66,219695,4562.39,33491,266.00,30205,646.40,54677.0,150996,32680.0
2023-07-10,38745.7,174122,2463.11,287327,4946.77,35931,266.00,29470,630.25,53469.0,161766,33078.0
2023-07-09,38027.64,161777,2526.26,415747,7623.67,32207,266.00,29888,641.94,71585.0,153054,38579.0
2023-07-08,29054.3,183123,2504.35,376993,6316.56,33305,266.00,29822,639.40,57114.0,157171,37999.0
2023-07-07,35511.54,140700,2099.64,368133,7051.05,34200,266.00,29626,634.55,63955.0,133300,34387.0
2023-07-06,19686.73,152257,2318.05,360023,5573.87,35138,266.00,29848,644.94,67220.0,140171,34770.0
2023-07-05,92852.86,171327,2603.54,345890,6893.81,31593,266.00,30235,646.89,69229.0,160782,37322.0
2023-07-04,91443.87,169128,2650.36,502418,9277.24,35324,266.00,29002,611.85,68117.0,154566,44315.0
2023-07-03,49949.79,177006,2678.98,586881,9346.32,31912,266.00,29433,629.58,66238.0,163262,43107.0
2023-07-02,57509.22,177957,2782.25,619338,11199.26,31851,266.00,29787,632.37,65979.0,184834,48003.0
2023-07-01,61047.21,158709,2571.30,555273,11146.28,37727,266.00,25093,523.89,66125.0,164322,43554.0
2023-06-30,55607.32,149528,2534.87,478893,8801.52,26336,266.00,31720,619.01,68381.0,161836,33837.0
2023-06-29,45887.43,153968,2521.10,314938,6761.20,30079,266.00,32881,656.56,67460.0,146402,33665.0
2023-06-28,35314.37,155009,2554.93,297180,5437.28,37189,266.00,32890,665.64,69282.0,157467,30971.0
2023-06-27,74752.53,158778,2586.59,373710,7161.17,33008,266.00,31214,627.96,73971.0,153510,30880.0
2023-06-26,60012.42,162260,2528.71,287878,5932.59,28854,266.00,31553,658.26,83309.0,187968,32092.0
2023-06-25,57575.47,147217,2461.43,323078,6260.38,32963,266.00,31087,632.12,85292.0,139726,41293.0
2023-06-24,63678.32,168059,2859.69,225437,4318.20,30874,266.00,32347,668.45,72873.0,187748,33249.0
2023-06-23,39878.84,141803,2282.73,200112,3822.08,28631,266.00,30767,641.88,69601.0,137665,25644.0
2023-06-22,36079.97,128319,2392.14,255782,4953.91,28827,266.00,30070,631.75,74662.0,127093,24672.0
2023-06-21,47720.44,150356,2539.71,281075,5342.48,30697,266.00,31553,644.98,77931.0,160960,26895.0
2023-06-20,43933.8,170765,2551.11,271451,6221.91,30557,266.00,23372,649.29,81787.0,136986,28848.0
2023-06-19,56585.75,177289,2494.89,285189,4974.15,29270,266.00,0,0.00,83027.0,148413,35332.0
2023-06-18,45553.87,180376,2638.73,276354,4950.21,28344,266.00,0,0.00,82118.0,153746,38719.0
2023-06-17,31056.15,167735,2666.32,250109,4468.01,30128,266.00,0,0.00,73035.0,144543,36779.0
