"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_organic_total_impressions_alphas","google_organic_total_impressions_gammas","google_organic_total_impressions_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","instagram_organic_total_impressions_alphas","instagram_organic_total_impressions_gammas","instagram_organic_total_impressions_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"14",1.579425,0.591109,0.1736409,1.8567275,0.6361624,0.1687914,1.8385075,0.5983351,0.1745484,1.076465,0.7865518,0.1003272,1.7466225,0.611206,0.2231595,1.8966175,0.6231942,0.2031615,1.17113,0.6414768,0.2856873,0.7347074,0.0872042389618266,-0.0875969129888958,-0.908124063925321,0.166123691658677,1.74187266889335,2.30430104687301,1.74187266889335,0.158512780242029,0,717424.929916868,0.499121,1437232.53871745,1e-04,1,0.110272407531738,2.74554491043091,"1_21_1",1,21,1,21,FALSE,TRUE,3,0.278806967389661,1,FALSE
"15",1.345755,0.5315635,0.2263206,2.0287075,0.8343807,0.2504502,2.539965,0.5711807,0.1061439,1.4626225,0.8609233,0.103422,1.321925,0.569717,0.1949571,1.6655425,0.5327045,0.2008275,1.3774025,0.7092487,0.2638971,0.6711938,0.0988110460144656,0.0499787827666305,-0.886761582478754,0.15912275118347,2.30773954972576,2.40195337892931,2.30773954972576,0.237722073274392,0,603942.337426156,0.420154,1437232.53871745,1e-04,1,0.108998775482178,3.13825750350952,"1_24_1",1,24,1,24,FALSE,TRUE,11,0.318964546873048,2,FALSE
"16",1.6810275,0.8076932,0.1899123,2.513275,0.7950939,0.0982941,1.70428,0.36771674,0.1372479,1.665225,0.4016204,0.144399,2.47048,0.6431729,0.1881915,1.8194975,0.6682994,0.0971754,1.37104,0.36114815,0.2838987,0.7083089,0.0618165253056515,0.0656233338088689,-0.989973571167179,0.166997382679886,1.96623022571802,2.4143606855966,1.96623022571802,0.242084101208048,0,948046.068844832,0.659599,1437232.53871745,1e-04,1,0.117828130722046,3.93506622314453,"1_30_1",1,30,1,30,FALSE,TRUE,8,0.323028790036568,1,FALSE
"17",1.98203,0.5842434,0.0907272,1.7514175,0.658512,0.1282623,1.9350875,0.8049912,0.1684707,1.347135,0.6602004,0.2439819,1.835435,0.6915212,0.112536,2.4366125,0.7011182,0.1936449,1.48801,0.4933757,0.1965183,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,1,0.108606338500977,4.06216382980347,"1_31_1",1,31,1,31,TRUE,TRUE,12,0.27870582123594,NA,NA
"18",1.7214,0.6267593,0.1213908,2.0304975,0.4938489,0.1497027,1.5085975,0.8670532,0.0603468,1.543385,0.8267752,0.2162028,1.3797075,0.5561468,0.1013226,1.4141975,0.8032174,0.1588752,1.819545,0.8158321,0.235263,0.7705805,0.118727694549182,-1.16636042171529,-0.684697847247349,0.161259610772792,1.73599218727106,2.05167166534416,1.73599218727106,0.220528718723153,0,503573.180376549,0.350312,1437232.53871745,1e-04,1,0.109808683395386,4.45708084106445,"1_34_1",1,34,1,34,FALSE,TRUE,5,0.233495518538285,1,FALSE
"19",1.6475,0.6710609,0.2346585,1.55046,0.6428194,0.1294275,1.9453325,0.687072,0.152709,1.690205,0.554401,0.0746031,1.809495,0.5050965,0.2195055,0.970685,0.9177255,0.1647582,1.6737925,0.9427869,0.0948576,0.6674339,0.124366075851615,0.0521628198247711,-0.814997171568317,0.156245782628797,2.30135045215466,2.3704155110148,2.30135045215466,0.240488140259065,0,453740.688611534,0.315636,1437232.53871745,1e-04,1,0.116926670074463,4.59170317649841,"1_35_1",1,35,1,35,FALSE,TRUE,11,0.312380250635076,2,FALSE
"20",1.6670775,0.6267915,0.170289,1.835435,0.6596733,0.1720152,1.7597325,0.6405514,0.1670763,1.5423875,0.6752252,0.1486758,1.780355,0.5729888,0.1073307,1.4484225,0.6173954,0.124545,1.3296575,0.6704659,0.2632137,0.6930254,0.0824210336775728,0.0873723564398747,-0.920804924910954,0.163280517325469,2.11480634411108,2.38949568563691,2.11480634411108,0.25850118157567,0,722584.078764383,0.502711,1437232.53871745,1e-04,1,0.107832193374634,4.71687459945679,"1_36_1",1,36,1,36,FALSE,TRUE,11,0.321971527977157,1,FALSE
"21",1.761635,0.6592974,0.1363932,2.071935,0.691699,0.1356147,1.5822925,0.6332875,0.1400742,1.50755,0.4757546,0.1309995,1.18331,0.8047077,0.1007238,2.93464,0.6352895,0.1924914,1.77989,0.8059152,0.1741749,0.6263849,0.0311200579093058,-0.386376686981484,-0.99973480563089,0.163455380322358,2.77184241043562,2.54563400362375,2.77184241043562,0.178385523377872,0,1272858.32000473,0.88562,1437232.53871745,1e-04,1,0.117735862731934,4.85204243659973,"1_37_1",1,37,1,37,TRUE,TRUE,13,0.340931196111553,6,FALSE
"22",1.8748475,0.6310335,0.1491822,1.6428375,0.5191161,0.2232516,2.36365,0.5312891,0.0475185,1.916785,0.8626621,0.1905042,2.0443,0.5828371,0.1258038,1.3666875,0.5788289,0.2259678,2.0220775,0.4727208,0.1589691,0.6959834,0.0537924554049964,0.0629824979885895,-1.00943673011186,0.16703011598177,2.06775716013862,2.44092479013949,2.06775716013862,0.362136715600807,0,1041553.1268006,0.724666,1437232.53871745,1e-04,1,0.107703447341919,5.10143089294434,"1_39_1",1,39,1,39,FALSE,TRUE,12,0.370453495500775,1,FALSE
"23",1.4377275,0.5532089,0.166695,1.548435,0.5509563,0.2451804,1.17498,0.7062646,0.1053777,1.7330075,0.7817071,0.198963,1.5854125,0.6261293,0.1943439,1.734415,0.371869,0.2425887,1.625345,0.5118522,0.1918449,0.6972275,0.115450747845708,0.13335490410598,-0.844109411988779,0.161496304627867,1.98859491159342,2.33835568595382,1.98859491159342,0.329185408842522,0,518829.31524151,0.360928,1437232.53871745,1e-04,1,0.120296001434326,5.49661374092102,"1_42_1",1,42,1,42,FALSE,TRUE,10,0.335628913382024,2,FALSE
