"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",1.18331,0.8047077,0.2355789,1.598765,0.34656512,0.1663164,0.75735,0.5659314,0.0991662,2.96124,0.5948981,0.1126158,2.2170675,0.7056717,0.245481,0.6424118,0.0987608935596698,-0.210358758697557,-0.76753548827358,0.157256804905405,2.61618472504378,2.37683685569605,2.61618472504378,0.0673189297276894,0,518470.043037644,0.360678,1437232.53871745,1e-04,1,0.117025136947632,4.94899034500122,"1_39_1",1,39,1,39,TRUE,TRUE,4,0.291323519094831,2,FALSE
"12",1.42326,0.8026672,0.2224161,1.5820775,0.4084398,0.1620126,0.9219475,0.6205307,0.0925662,1.4413475,0.4977843,0.199941,1.51191,0.4836359,0.121947,0.6871721,0.111565529259692,0.0870502216413382,-0.789263548998168,0.160506805684218,2.14904119187399,2.32664400934183,2.14904119187399,0.143051206074141,0,508025.281526855,0.35341,1437232.53871745,1e-04,1,0.113173723220825,5.32699108123779,"1_42_1",1,42,1,42,FALSE,TRUE,6,0.280975255554251,1,FALSE
"13",1.31568,0.8313098,0.1587522,1.6488625,0.376706,0.1626564,0.85846,0.6218474,0.1100364,2.908095,0.6149902,0.1209393,2.147835,0.6935036,0.2194488,0.6246308,0.0947087799922063,-0.331389257468675,-0.783974672668783,0.158581404199901,2.72473716496222,2.41046565718365,2.72473716496222,0.0816422719112723,0,544162.316880502,0.378556,1437232.53871745,1e-04,1,0.106083393096924,5.44901823997498,"1_43_1",1,43,1,43,TRUE,TRUE,5,0.302044256455881,2,FALSE
"14",1.5530075,0.3831537,0.1382856,1.57646,0.6223367,0.002619369,1.12339,0.6134691,0.1473306,2.939355,0.8138931,0.0777966,2.5399325,0.7461254,0.2686761,0.6108449,0.0759459660364556,-0.566409147751148,-0.776096156614371,0.156012691749101,2.93337208175874,2.42724375080116,2.93337208175874,0.113477743408607,0,656876.066854941,0.456988,1437232.53871745,1e-04,1,0.116429090499878,5.58193516731262,"1_44_1",1,44,1,44,TRUE,TRUE,9,0.308856815426158,2,FALSE
"15",2.1155075,0.7618908,0.1169358,1.02083,0.459096,0.2907894,1.005435,0.7094307,0.02968833,2.003175,0.5370704,0.1514634,1.191815,0.5166346,0.126018,0.6986243,0.0722428112406142,0.0779909620376387,-0.93596336956188,0.165877099914604,2.03993654230685,2.40142197840484,2.03993654230685,0.252383296846467,0,781343.766251058,0.543599,1437232.53871745,1e-04,1,0.112761259078979,5.71157264709473,"1_45_1",1,45,1,45,FALSE,TRUE,12,0.321523468474932,2,FALSE
"16",2.048755,0.6993346,0.1046958,1.68027,0.6854942,0.0706458,1.0160125,0.5583714,0.198834,1.343105,0.6672592,0.1742358,2.6855525,0.6562545,0.1584069,0.7282664,0.065272609240243,-0.071091633803257,-0.935617729273303,0.169074707972731,1.74746042342859,2.34753880494988,1.74746042342859,0.0883550163321701,0,847689.845594564,0.589766,1437232.53871745,1e-04,1,0.121037006378174,5.98077774047852,"1_47_1",1,47,1,47,FALSE,TRUE,1,0.282988416214199,2,FALSE
"17",1.9256125,0.6807475,0.1150365,1.611385,0.6527874,0.1014231,1.0658025,0.5983407,0.1745091,1.501595,0.7738853,0.0921516,2.0902525,0.6497928,0.2650281,0.7204466,0.0754943900682326,0.0455604629186256,-0.908553586687716,0.166596556581109,1.87578391324771,2.34680833494837,1.87578391324771,0.12484380828758,0,753021.619875901,0.523891,1437232.53871745,1e-04,1,0.119811058044434,6.64584398269653,"1_52_1",1,52,1,52,FALSE,TRUE,4,0.285233176015425,2,FALSE
"18",1.49399,0.5608424,0.1283244,2.2192425,0.535739,0.0806574,1.362485,0.7029445,0.1968789,1.0679625,0.7331383,0.1887162,1.8860575,0.6475556,0.2111445,0.6702821,0.135889766628333,0.0619573250322557,-0.720811591107329,0.15600529539518,2.29116403954586,2.3064863061348,2.29116403954586,0.179565220537521,0,406917.460826099,0.283054,1437232.53871745,1e-04,1,0.11288595199585,6.77475357055664,"1_53_1",1,53,1,53,FALSE,TRUE,10,0.279951385498738,1,FALSE
"19",1.67744,0.6922275,0.0454041,1.780395,0.7976076,0.1333014,0.8081725,0.5626106,0.1506777,0.65999075,0.7348477,0.1825827,2.3984125,0.8840436,0.0814614,0.6434861,0.0654252364188461,-0.206473074623567,-0.869807943826225,0.16096017018392,2.60549121226256,2.43982470657851,2.60549121226256,0.137077703582352,0,752278.644958306,0.523374,1437232.53871745,1e-04,1,0.11149263381958,6.90360379219055,"1_54_1",1,54,1,54,TRUE,TRUE,7,0.31464204564372,2,FALSE
"20",1.3389225,0.8372143,0.2284212,1.94224,0.5041872,0.1627776,0.589115,0.4039507,0.1431276,2.7950375,0.5867046,0.1121373,2.7968875,0.728911,0.2755221,0.6867581,0.0736503254281871,0.0529544536872557,-0.896141123196444,0.163895952324773,2.18880327171455,2.3951245926452,2.18880327171455,0.167416393423844,0,727776.280654653,0.506324,1437232.53871745,1e-04,1,0.111059188842773,7.1657350063324,"1_56_1",1,56,1,56,FALSE,TRUE,8,0.304604533255158,2,FALSE
